49 	 # Number of sensors 
# x z 
0.00 10.73 
2.00 10.69 
4.59 10.63 
6.40 10.38 
8.30 9.89 
10.15 9.84 
12.39 9.39 
14.22 8.99 
16.10 8.67 
17.95 8.38 
19.83 8.10 
21.79 7.91 
23.84 7.72 
25.78 7.44 
27.88 7.20 
29.85 6.73 
31.94 6.63 
33.94 6.38 
35.82 6.18 
37.81 5.45 
39.78 5.41 
41.78 5.40 
43.76 5.34 
45.86 5.01 
47.73 4.73 
49.72 4.43 
51.82 4.05 
53.55 3.69 
55.51 3.49 
57.67 3.06 
59.14 2.69 
61.66 2.38 
63.36 2.27 
65.65 1.77 
67.39 1.49 
69.53 1.02 
71.52 0.77 
73.32 0.42 
75.24 0.25 
77.27 0.00 
79.17 0.16 
81.26 0.27 
83.24 0.35 
85.27 0.39 
87.30 0.31 
89.21 0.36 
91.30 0.17 
93.28 0.29 
95.30 0.41 
292 	 # Number of measurements 
# s g t err
1 1 0.00000  0.01
1 2 0.00501  0.01
1 4 0.00769  0.01
1 6 0.01035  0.01
1 8 0.00954  0.01
1 10 0.01053  0.01
1 12 0.01138  0.01
1 14 0.01323  0.01
1 16 0.01534  0.01
1 18 0.01570  0.01
1 20 0.01665  0.01
1 22 0.01737  0.01
1 24 0.01746  0.01
1 26 0.01813  0.01
1 28 0.01844  0.01
1 30 0.01800  0.01
1 32 0.01835  0.01
1 34 0.01894  0.01
1 36 0.01984  0.01
1 38 0.02074  0.01
1 40 0.02195  0.01
7 2 0.00767  0.01
7 4 0.00639  0.01
7 6 0.00374  0.01
7 7 0.00000  0.01
7 8 0.00496  0.01
7 10 0.00640  0.01
7 12 0.00741  0.01
7 14 0.00935  0.01
7 16 0.01206  0.01
7 18 0.01281  0.01
7 20 0.01367  0.01
7 22 0.01502  0.01
7 24 0.01489  0.01
7 26 0.01554  0.01
7 28 0.01669  0.01
7 30 0.01550  0.01
7 32 0.01598  0.01
7 34 0.01678  0.01
7 36 0.01710  0.01
7 38 0.01790  0.01
7 40 0.01949  0.01
7 42 0.02253  0.01
7 44 0.02300  0.01
7 46 0.02427  0.01
15 2 0.01591  0.01
15 4 0.01420  0.01
15 6 0.01345  0.01
15 8 0.01070  0.01
15 10 0.01003  0.01
15 12 0.00818  0.01
15 14 0.00476  0.01
15 15 0.00000  0.01
15 16 0.00580  0.01
15 18 0.01011  0.01
15 20 0.01182  0.01
15 22 0.01390  0.01
15 24 0.01412  0.01
15 26 0.01442  0.01
15 28 0.01502  0.01
15 30 0.01390  0.01
15 32 0.01472  0.01
15 34 0.01546  0.01
15 36 0.01672  0.01
15 38 0.01777  0.01
15 40 0.01873  0.01
15 42 0.02171  0.01
15 44 0.02386  0.01
15 46 0.02304  0.01
15 48 0.02414  0.01
19 2 0.01779  0.01
19 4 0.01588  0.01
19 6 0.01588  0.01
19 8 0.01283  0.01
19 10 0.01347  0.01
19 12 0.01156  0.01
19 14 0.01038  0.01
19 16 0.00889  0.01
19 18 0.00454  0.01
19 19 0.00000  0.01
19 20 0.00470  0.01
19 22 0.01038  0.01
19 24 0.01233  0.01
19 26 0.01233  0.01
19 28 0.01272  0.01
19 30 0.01271  0.01
19 32 0.01296  0.01
19 34 0.01347  0.01
19 36 0.01461  0.01
19 38 0.01626  0.01
19 40 0.01767  0.01
19 42 0.01982  0.01
19 44 0.02118  0.01
19 46 0.02135  0.01
19 48 0.02186  0.01
23 2 0.02001  0.01
23 4 0.01858  0.01
23 6 0.01715  0.01
23 8 0.01585  0.01
23 10 0.01592  0.01
23 12 0.01462  0.01
23 14 0.01358  0.01
23 16 0.01202  0.01
23 18 0.01202  0.01
23 20 0.01091  0.01
23 22 0.00559  0.01
23 23 0.00000  0.01
23 24 0.00650  0.01
23 26 0.01059  0.01
23 28 0.01156  0.01
23 30 0.01055  0.01
23 32 0.01182  0.01
23 34 0.01267  0.01
23 36 0.01384  0.01
23 38 0.01499  0.01
23 40 0.01665  0.01
23 42 0.01919  0.01
23 44 0.02084  0.01
23 46 0.02020  0.01
27 2 0.02071  0.01
27 4 0.01919  0.01
27 6 0.01861  0.01
27 8 0.01680  0.01
27 10 0.01642  0.01
27 12 0.01487  0.01
27 14 0.01451  0.01
27 16 0.01298  0.01
27 18 0.01355  0.01
27 20 0.01308  0.01
27 22 0.01117  0.01
27 24 0.00878  0.01
27 26 0.00394  0.01
27 27 0.00000  0.01
27 28 0.00343  0.01
27 30 0.00546  0.01
27 32 0.00712  0.01
27 34 0.00801  0.01
27 36 0.00955  0.01
27 38 0.01067  0.01
27 40 0.01372  0.01
27 42 0.01614  0.01
27 44 0.01766  0.01
27 46 0.01690  0.01
27 48 0.01779  0.01
31 2 0.01805  0.01
31 4 0.01647  0.01
31 6 0.01618  0.01
31 8 0.01442  0.01
31 10 0.01407  0.01
31 12 0.01319  0.01
31 14 0.01301  0.01
31 16 0.01096  0.01
31 18 0.01178  0.01
31 20 0.01155  0.01
31 22 0.01055  0.01
31 24 0.00864  0.01
31 26 0.00737  0.01
31 28 0.00445  0.01
31 30 0.00111  0.01
31 31 0.00000  0.01
31 32 0.00102  0.01
31 34 0.00229  0.01
31 36 0.00419  0.01
31 38 0.00508  0.01
31 40 0.00813  0.01
31 42 0.01144  0.01
31 44 0.01245  0.01
31 46 0.01220  0.01
31 48 0.01423  0.01
35 2 0.02096  0.01
35 4 0.01940  0.01
35 6 0.01988  0.01
35 8 0.01760  0.01
35 10 0.01766  0.01
35 12 0.01635  0.01
35 14 0.01593  0.01
35 16 0.01461  0.01
35 18 0.01353  0.01
35 20 0.01318  0.01
35 22 0.01301  0.01
35 24 0.01144  0.01
35 26 0.01004  0.01
35 28 0.00725  0.01
35 30 0.00503  0.01
35 32 0.00269  0.01
35 34 0.00126  0.01
35 35 0.00000  0.01
35 36 0.00090  0.01
35 38 0.00257  0.01
35 40 0.00497  0.01
35 42 0.00928  0.01
35 44 0.01150  0.01
35 46 0.01066  0.01
35 48 0.01198  0.01
39 2 0.02495  0.01
39 4 0.02332  0.01
39 6 0.02332  0.01
39 8 0.02162  0.01
39 10 0.02148  0.01
39 12 0.02012  0.01
39 14 0.02026  0.01
39 16 0.01842  0.01
39 18 0.01924  0.01
39 20 0.01822  0.01
39 22 0.01740  0.01
39 24 0.01434  0.01
39 26 0.01264  0.01
39 28 0.01013  0.01
39 30 0.00741  0.01
39 32 0.00551  0.01
39 34 0.00401  0.01
39 36 0.00320  0.01
39 38 0.00184  0.01
39 39 0.00000  0.01
39 40 0.00156  0.01
39 42 0.00680  0.01
39 44 0.00836  0.01
39 46 0.00836  0.01
39 48 0.01006  0.01
43 2 0.02886  0.01
43 4 0.02758  0.01
43 6 0.02775  0.01
43 8 0.02571  0.01
43 10 0.02545  0.01
43 12 0.02418  0.01
43 14 0.02426  0.01
43 16 0.02222  0.01
43 18 0.02307  0.01
43 20 0.02248  0.01
43 22 0.02213  0.01
43 24 0.02154  0.01
43 26 0.02018  0.01
43 28 0.01796  0.01
43 30 0.01532  0.01
43 32 0.01473  0.01
43 34 0.01379  0.01
43 36 0.01303  0.01
43 38 0.01115  0.01
43 40 0.01166  0.01
43 42 0.00604  0.01
43 43 0.00000  0.01
43 44 0.00502  0.01
43 46 0.01132  0.01
43 48 0.01524  0.01
47 2 0.02766  0.01
47 4 0.02653  0.01
47 6 0.02580  0.01
47 8 0.02379  0.01
47 10 0.02379  0.01
47 12 0.02234  0.01
47 14 0.02217  0.01
47 16 0.01984  0.01
47 18 0.02088  0.01
47 20 0.02032  0.01
47 22 0.01984  0.01
47 24 0.01887  0.01
47 26 0.01855  0.01
47 28 0.01613  0.01
47 30 0.01339  0.01
47 32 0.01274  0.01
47 34 0.01169  0.01
47 36 0.01121  0.01
47 38 0.00984  0.01
47 40 0.00927  0.01
47 44 0.00677  0.01
47 46 0.00218  0.01
47 47 0.00000  0.01
47 48 0.00516  0.01
49 2 0.03178  0.01
49 4 0.03023  0.01
49 6 0.03070  0.01
49 8 0.02858  0.01
49 10 0.02849  0.01
49 12 0.02731  0.01
49 14 0.02670  0.01
49 16 0.02567  0.01
49 18 0.02586  0.01
49 20 0.02562  0.01
49 22 0.02463  0.01
49 24 0.02360  0.01
49 26 0.02275  0.01
49 28 0.02050  0.01
49 30 0.01768  0.01
49 32 0.01711  0.01
49 34 0.01584  0.01
49 36 0.01514  0.01
49 38 0.01401  0.01
49 40 0.01359  0.01
49 44 0.01462  0.01
49 46 0.01039  0.01
49 48 0.00522  0.01
49 49 0.00000  0.01
