49 	 # Number of sensors 
# x z 
0.00 10.73 
2.00 10.69 
4.59 10.63 
6.40 10.38 
8.30 9.89 
10.15 9.84 
12.39 9.39 
14.22 8.99 
16.10 8.67 
17.95 8.38 
19.83 8.10 
21.79 7.91 
23.84 7.72 
25.78 7.44 
27.88 7.20 
29.85 6.73 
31.94 6.63 
33.94 6.38 
35.82 6.18 
37.81 5.45 
39.78 5.41 
41.78 5.40 
43.76 5.34 
45.86 5.01 
47.73 4.73 
49.72 4.43 
51.82 4.05 
53.55 3.69 
55.51 3.49 
57.67 3.06 
59.14 2.69 
61.66 2.38 
63.36 2.27 
65.65 1.77 
67.39 1.49 
69.53 1.02 
71.52 0.77 
73.32 0.42 
75.24 0.25 
77.27 0.00 
79.17 0.16 
81.26 0.27 
83.24 0.35 
85.27 0.39 
87.30 0.31 
89.21 0.36 
91.30 0.17 
93.28 0.29 
95.30 0.41 
529 	 # Number of measurements 
# a b m n u i err
2 49 25 26 19.668 4.732  0.01
2 47 24 25 19.655 4.656  0.01
2 45 23 24 20.062 4.624  0.01
2 43 22 23 20.266 4.238  0.01
2 41 21 22 20.809 4.843  0.01
2 39 20 21 20.100 3.866  0.01
2 37 19 20 34.135 3.080  0.01
2 35 18 19 20.107 3.050  0.01
2 33 17 18 19.258 1.931  0.01
2 31 16 17 19.929 1.822  0.01
2 29 15 16 20.116 1.259  0.01
2 27 14 15 19.821 1.125  0.01
2 25 13 14 19.868 1.202  0.01
2 23 12 13 20.336 1.106  0.01
2 21 11 12 19.856 0.715  0.01
2 19 10 11 19.703 0.696  0.01
2 17 9 10 21.493 0.585  0.01
2 15 8 9 20.361 0.539  0.01
2 13 7 8 24.748 0.294  0.01
2 11 6 7 22.332 0.267  0.01
2 9 5 6 32.648 0.308  0.01
2 7 4 5 58.940 0.272  0.01
2 5 3 4 71.154 0.238  0.01
3 48 25 26 19.163 4.168  0.01
3 46 24 25 20.027 4.319  0.01
3 44 23 24 19.919 4.114  0.01
3 42 22 23 20.256 3.800  0.01
3 40 21 22 20.272 4.236  0.01
3 38 20 21 19.951 3.309  0.01
3 36 19 20 19.811 1.671  0.01
3 34 18 19 20.053 2.707  0.01
3 32 17 18 20.879 1.826  0.01
3 30 16 17 20.409 1.602  0.01
3 28 15 16 19.534 1.040  0.01
3 26 14 15 19.636 0.941  0.01
3 24 13 14 19.732 1.000  0.01
3 22 12 13 20.002 0.925  0.01
3 20 11 12 22.732 0.682  0.01
3 18 10 11 22.259 0.642  0.01
3 16 9 10 21.474 0.410  0.01
3 14 8 9 22.116 0.375  0.01
3 12 7 8 39.078 0.312  0.01
3 10 6 7 38.681 0.296  0.01
3 8 5 6 53.174 0.291  0.01
3 6 4 5 149.085 0.238  0.01
4 49 26 27 19.900 3.103  0.01
4 47 25 26 20.177 4.094  0.01
4 45 24 25 20.418 4.080  0.01
4 43 23 24 20.072 3.831  0.01
4 41 22 23 20.421 3.503  0.01
4 39 21 22 20.180 3.851  0.01
4 37 20 21 20.208 3.093  0.01
4 35 19 20 19.363 1.488  0.01
4 33 18 19 20.307 2.467  0.01
4 31 17 18 20.746 1.616  0.01
4 29 16 17 20.062 1.383  0.01
4 27 15 16 19.623 0.944  0.01
4 25 14 15 19.932 0.839  0.01
4 23 13 14 20.491 0.911  0.01
4 21 12 13 21.048 0.849  0.01
4 19 11 12 20.107 0.482  0.01
4 17 10 11 21.156 0.493  0.01
4 15 9 10 17.993 0.262  0.01
4 13 8 9 27.043 0.353  0.01
4 11 7 8 58.104 0.319  0.01
4 9 6 7 76.412 0.369  0.01
4 7 5 6 143.001 0.334  0.01
5 48 26 27 19.528 2.774  0.01
5 46 25 26 20.285 3.750  0.01
5 44 24 25 20.393 3.675  0.01
5 42 23 24 20.336 3.511  0.01
5 40 22 23 20.351 3.181  0.01
5 38 21 22 20.297 3.414  0.01
5 36 20 21 20.148 2.729  0.01
5 34 19 20 19.404 1.302  0.01
5 32 18 19 22.281 2.383  0.01
5 30 17 18 21.003 1.411  0.01
5 28 16 17 21.076 1.230  0.01
5 26 15 16 22.275 0.895  0.01
5 24 14 15 22.453 0.801  0.01
5 22 13 14 19.560 0.734  0.01
5 20 12 13 22.481 0.753  0.01
5 18 11 12 18.861 0.362  0.01
5 16 10 11 17.885 0.315  0.01
5 14 9 10 27.227 0.286  0.01
5 12 8 9 38.592 0.348  0.01
5 10 7 8 99.522 0.334  0.01
5 8 6 7 159.747 0.329  0.01
6 49 27 28 19.935 6.019  0.01
6 47 26 27 20.282 2.666  0.01
6 45 25 26 20.218 3.433  0.01
6 43 24 25 20.084 3.324  0.01
6 41 23 24 20.301 3.184  0.01
6 39 22 23 20.065 2.840  0.01
6 37 21 22 19.903 3.061  0.01
6 35 20 21 20.078 2.427  0.01
6 33 19 20 18.648 1.111  0.01
6 31 18 19 23.044 2.165  0.01
6 29 17 18 20.908 1.221  0.01
6 27 16 17 20.758 1.068  0.01
6 25 15 16 21.979 0.758  0.01
6 23 14 15 20.695 0.636  0.01
6 21 13 14 19.039 0.610  0.01
6 19 12 13 19.817 0.510  0.01
6 17 11 12 19.455 0.289  0.01
6 15 10 11 19.239 0.242  0.01
6 13 9 10 42.505 0.315  0.01
6 11 8 9 53.266 0.289  0.01
6 9 7 8 217.333 0.331  0.01
7 48 27 28 19.074 5.245  0.01
7 46 26 27 20.402 2.441  0.01
7 44 25 26 20.326 3.111  0.01
7 42 24 25 20.142 3.015  0.01
7 40 23 24 20.831 2.971  0.01
7 38 22 23 20.618 2.562  0.01
7 36 21 22 20.374 2.758  0.01
7 34 20 21 20.113 2.149  0.01
7 32 19 20 19.296 1.014  0.01
7 30 18 19 21.737 1.745  0.01
7 28 17 18 21.146 1.040  0.01
7 26 16 17 21.153 0.906  0.01
7 24 15 16 20.762 0.610  0.01
7 22 14 15 21.372 0.548  0.01
7 20 13 14 21.292 0.567  0.01
7 18 12 13 20.628 0.418  0.01
7 16 11 12 34.758 0.377  0.01
7 14 10 11 39.527 0.334  0.01
7 12 9 10 73.522 0.429  0.01
7 10 8 9 120.297 0.410  0.01
8 49 28 29 19.786 2.809  0.01
8 47 27 28 20.164 4.975  0.01
8 45 26 27 20.199 2.139  0.01
8 43 25 26 19.550 2.646  0.01
8 41 24 25 20.301 2.651  0.01
8 39 23 24 20.399 2.537  0.01
8 37 22 23 20.425 2.236  0.01
8 35 21 22 20.167 2.349  0.01
8 33 20 21 20.138 1.855  0.01
8 31 19 20 19.261 0.823  0.01
8 29 18 19 20.898 1.359  0.01
8 27 17 18 20.138 0.838  0.01
8 25 16 17 19.306 0.672  0.01
8 23 15 16 22.828 0.536  0.01
8 21 14 15 22.497 0.447  0.01
8 19 13 14 20.501 0.372  0.01
8 17 12 13 27.949 0.381  0.01
8 15 11 12 46.749 0.310  0.01
8 13 10 11 92.087 0.439  0.01
8 11 9 10 167.084 0.391  0.01
9 48 28 29 19.801 2.562  0.01
9 46 27 28 21.366 4.816  0.01
9 44 26 27 20.361 1.942  0.01
9 42 25 26 21.439 2.637  0.01
9 40 24 25 21.785 2.586  0.01
9 38 23 24 21.359 2.337  0.01
9 36 22 23 20.644 1.990  0.01
9 34 21 22 21.674 2.232  0.01
9 32 20 21 21.544 1.748  0.01
9 30 19 20 20.857 0.765  0.01
9 28 18 19 21.712 1.192  0.01
9 26 17 18 21.366 0.730  0.01
9 24 16 17 20.304 0.601  0.01
9 22 15 16 18.527 0.362  0.01
9 20 14 15 23.235 0.375  0.01
9 18 13 14 19.671 0.277  0.01
9 16 12 13 37.842 0.362  0.01
9 14 11 12 79.371 0.324  0.01
9 12 10 11 165.224 0.424  0.01
10 49 29 30 20.361 2.948  0.01
10 47 28 29 20.539 2.413  0.01
10 45 27 28 19.744 4.010  0.01
10 43 26 27 19.522 1.674  0.01
10 41 25 26 20.612 2.247  0.01
10 39 24 25 20.415 2.144  0.01
10 37 23 24 20.320 1.984  0.01
10 35 22 23 19.515 1.636  0.01
10 33 21 22 19.891 1.774  0.01
10 31 20 21 20.440 1.421  0.01
10 29 19 20 21.407 0.652  0.01
10 27 18 19 20.727 0.971  0.01
10 25 17 18 18.679 0.525  0.01
10 23 16 17 22.783 0.547  0.01
10 21 15 16 29.507 0.459  0.01
10 19 14 15 21.394 0.237  0.01
10 17 13 14 45.306 0.431  0.01
10 15 12 13 57.586 0.315  0.01
10 13 11 12 227.916 0.455  0.01
11 48 29 30 19.957 2.621  0.01
11 46 28 29 20.189 2.151  0.01
11 44 27 28 20.479 3.718  0.01
11 42 26 27 19.614 1.512  0.01
11 40 25 26 21.238 2.093  0.01
11 38 24 25 20.456 1.869  0.01
11 36 23 24 17.799 1.515  0.01
11 34 22 23 20.072 1.469  0.01
11 32 21 22 20.463 1.583  0.01
11 30 20 21 21.194 1.245  0.01
11 28 19 20 20.800 0.525  0.01
11 26 18 19 18.940 0.715  0.01
11 24 17 18 17.881 0.410  0.01
11 22 16 17 19.318 0.367  0.01
11 20 15 16 31.824 0.381  0.01
11 18 14 15 35.944 0.281  0.01
11 16 13 14 63.830 0.370  0.01
11 14 12 13 127.564 0.334  0.01
12 49 30 31 20.024 2.774  0.01
12 47 29 30 20.275 2.395  0.01
12 45 28 29 20.062 1.912  0.01
12 43 27 28 20.450 3.306  0.01
12 41 26 27 21.801 1.478  0.01
12 39 25 26 20.491 1.769  0.01
12 37 24 25 19.630 1.577  0.01
12 35 23 24 21.350 1.556  0.01
12 33 22 23 21.340 1.330  0.01
12 31 21 22 20.940 1.357  0.01
12 29 20 21 20.873 1.001  0.01
12 27 19 20 18.756 0.396  0.01
12 25 18 19 18.549 0.553  0.01
12 23 17 18 22.882 0.483  0.01
12 21 16 17 31.281 0.496  0.01
12 19 15 16 20.103 0.148  0.01
12 17 14 15 87.121 0.404  0.01
12 15 13 14 130.406 0.335  0.01
13 48 30 31 19.741 2.480  0.01
13 46 29 30 20.679 2.213  0.01
13 44 28 29 19.302 1.645  0.01
13 42 27 28 19.525 2.836  0.01
13 40 26 27 20.218 1.235  0.01
13 38 25 26 20.796 1.558  0.01
13 36 24 25 21.394 1.494  0.01
13 34 23 24 19.290 1.221  0.01
13 32 22 23 19.970 1.073  0.01
13 30 21 22 20.030 1.092  0.01
13 28 20 21 22.017 0.849  0.01
13 26 19 20 25.419 0.428  0.01
13 24 18 19 19.379 0.470  0.01
13 22 17 18 29.580 0.420  0.01
13 20 16 17 40.108 0.432  0.01
13 18 15 16 63.381 0.310  0.01
13 16 14 15 181.818 0.423  0.01
14 49 31 32 19.442 2.529  0.01
14 47 30 31 20.390 2.327  0.01
14 45 29 30 20.097 1.941  0.01
14 43 28 29 20.212 1.545  0.01
14 41 27 28 20.218 2.604  0.01
14 39 26 27 20.676 1.109  0.01
14 37 25 26 21.098 1.410  0.01
14 35 24 25 20.774 1.254  0.01
14 33 23 24 20.644 1.124  0.01
14 31 22 23 20.975 0.949  0.01
14 29 21 22 21.496 0.962  0.01
14 27 20 21 19.805 0.648  0.01
14 25 19 20 23.375 0.307  0.01
14 23 18 19 19.465 0.367  0.01
14 21 17 18 35.375 0.375  0.01
14 19 16 17 24.049 0.141  0.01
14 17 15 16 132.803 0.334  0.01
15 48 31 32 19.980 2.298  0.01
15 46 30 31 20.348 2.055  0.01
15 44 29 30 20.609 1.731  0.01
15 42 28 29 20.714 1.386  0.01
15 40 27 28 20.138 2.279  0.01
15 38 26 27 19.293 0.873  0.01
15 36 25 26 22.443 1.259  0.01
15 34 24 25 19.277 0.981  0.01
15 32 23 24 19.458 0.882  0.01
15 30 22 23 20.612 0.752  0.01
15 28 21 22 19.299 0.663  0.01
