48 	 # Number of sensors 
# x z 
0.00 0.00 
6.14 -1.80 
11.07 -3.56 
14.38 -5.55 
19.65 -6.44 
24.92 -7.32 
29.15 -7.44 
33.29 -8.13 
38.46 -9.94 
43.43 -12.61 
48.43 -11.31 
53.31 -10.72 
58.13 -11.84 
62.53 -12.56 
67.51 -13.56 
72.15 -14.69 
78.37 -15.63 
83.02 -17.11 
89.01 -19.40 
92.82 -20.07 
97.33 -22.38 
102.55 -22.97 
107.04 -21.50 
112.21 -20.42 
117.62 -21.66 
123.03 -22.90 
126.98 -25.09 
130.82 -24.90 
134.66 -24.70 
139.14 -24.35 
143.62 -23.99 
148.87 -26.20 
153.37 -27.59 
157.83 -28.47 
162.30 -29.36 
168.19 -27.40 
173.10 -28.47 
178.73 -28.85 
183.38 -30.10 
188.38 -30.92 
193.19 -32.74 
199.23 -36.44 
203.78 -37.66 
208.28 -39.83 
212.81 -43.19 
217.74 -46.39 
222.74 -49.58 
227.63 -51.51 
301 	 # Number of measurements 
# a b m n u i err
1 46 16 31 121.594 0.384  0.01
1 40 14 27 305.753 0.615  0.01
1 37 13 25 40.169 0.062  0.01
1 34 12 23 80.958 0.122  0.01
1 31 11 21 47.487 0.072  0.01
1 28 10 19 53.496 0.081  0.01
1 25 9 17 40.382 0.054  0.01
1 22 8 15 63.693 0.092  0.01
1 19 7 13 26.706 0.038  0.01
1 16 6 11 99.526 0.143  0.01
1 13 5 9 55.256 0.074  0.01
1 10 4 7 137.010 0.162  0.01
1 7 3 5 57.793 0.067  0.01
1 4 2 3 62.075 0.072  0.01
2 47 17 32 119.810 0.424  0.01
2 44 16 30 33.150 0.091  0.01
2 41 15 28 25.641 0.051  0.01
2 32 12 22 21.582 0.025  0.01
2 29 11 20 41.825 0.057  0.01
2 26 10 18 41.323 0.059  0.01
2 23 9 16 41.444 0.051  0.01
2 20 8 14 52.495 0.074  0.01
2 17 7 12 45.274 0.070  0.01
2 14 6 10 36.583 0.046  0.01
2 11 5 8 17.430 0.019  0.01
2 8 4 6 75.259 0.064  0.01
2 5 3 4 56.054 0.067  0.01
3 45 17 31 26.318 0.075  0.01
3 42 16 29 26.506 0.060  0.01
3 39 15 27 70.095 0.134  0.01
3 36 14 25 228.544 0.372  0.01
3 33 13 23 31.862 0.043  0.01
3 30 12 21 16.330 0.019  0.01
3 27 11 19 42.865 0.062  0.01
3 24 10 17 41.250 0.051  0.01
3 21 9 15 43.961 0.057  0.01
3 18 8 13 16.104 0.022  0.01
3 15 7 11 36.949 0.046  0.01
3 12 6 9 40.910 0.056  0.01
3 9 5 7 55.053 0.057  0.01
3 6 4 5 36.796 0.025  0.01
4 46 18 32 197.835 0.648  0.01
4 43 17 30 426.211 1.440  0.01
4 40 16 28 43.240 0.083  0.01
4 37 15 26 266.285 0.455  0.01
4 34 14 24 386.353 0.575  0.01
4 31 13 22 47.264 0.060  0.01
4 28 12 20 49.267 0.062  0.01
4 25 11 18 30.384 0.045  0.01
4 22 10 16 42.009 0.057  0.01
4 19 9 14 16.216 0.022  0.01
4 16 8 12 48.814 0.072  0.01
4 13 7 10 37.781 0.049  0.01
4 10 6 8 41.043 0.060  0.01
4 7 5 6 61.528 0.049  0.01
5 47 19 33 70.086 0.255  0.01
5 41 17 29 32.342 0.059  0.01
5 38 16 27 41.186 0.072  0.01
5 35 15 25 58.351 0.093  0.01
5 32 14 23 130.244 0.179  0.01
5 29 13 21 50.494 0.067  0.01
5 26 12 19 48.374 0.062  0.01
5 23 11 17 44.508 0.062  0.01
5 20 10 15 52.478 0.068  0.01
5 17 9 13 48.504 0.065  0.01
5 14 8 11 38.716 0.045  0.01
5 11 7 9 20.437 0.029  0.01
5 8 6 7 52.061 0.057  0.01
6 45 19 32 17.039 0.052  0.01
6 39 17 28 20.336 0.033  0.01
6 36 16 26 17.853 0.025  0.01
6 33 15 24 16.581 0.021  0.01
6 30 14 22 89.626 0.112  0.01
6 27 13 20 20.882 0.022  0.01
6 24 12 18 20.800 0.024  0.01
6 21 11 16 21.505 0.029  0.01
6 18 10 14 15.011 0.017  0.01
6 15 9 12 19.198 0.021  0.01
6 12 8 10 18.104 0.017  0.01
6 9 7 8 28.448 0.024  0.01
7 43 19 31 138.331 0.403  0.01
7 40 18 29 37.282 0.068  0.01
7 37 17 27 33.964 0.057  0.01
7 34 16 25 44.584 0.065  0.01
7 31 15 23 43.806 0.057  0.01
7 28 14 21 44.584 0.057  0.01
7 25 13 19 39.021 0.049  0.01
7 22 12 17 59.190 0.074  0.01
