72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n u i err
1 46 16 31 411.384 4.257  0.01
1 43 15 29 435.026 4.129  0.01
1 40 14 27 456.951 3.853  0.01
1 37 13 25 587.700 4.401  0.01
1 34 12 23 559.198 3.956  0.01
1 31 11 21 472.912 3.428  0.01
1 28 10 19 473.653 3.238  0.01
1 25 9 17 625.182 3.565  0.01
1 22 8 15 701.664 2.656  0.01
1 19 7 13 1402.600 3.181  0.01
1 16 6 11 1914.031 2.851  0.01
1 13 5 9 3042.504 2.537  0.01
1 10 4 7 3023.859 1.397  0.01
1 7 3 5 3022.537 0.706  0.01
1 4 2 3 3073.720 0.372  0.01
2 47 17 32 398.627 3.980  0.01
2 44 16 30 447.252 4.274  0.01
2 41 15 28 446.216 3.837  0.01
2 38 14 26 574.612 4.268  0.01
2 35 13 24 611.389 4.121  0.01
2 32 12 22 506.631 3.484  0.01
2 29 11 20 552.449 3.681  0.01
2 26 10 18 666.588 3.905  0.01
2 23 9 16 454.789 2.004  0.01
2 20 8 14 1173.616 3.066  0.01
2 17 7 12 2065.698 3.314  0.01
2 14 6 10 3028.882 2.931  0.01
2 11 5 8 3018.448 1.493  0.01
2 8 4 6 3043.295 0.782  0.01
2 5 3 4 3097.365 0.353  0.01
3 48 18 33 504.437 5.112  0.01
3 45 17 31 428.757 4.096  0.01
3 42 16 29 465.934 4.048  0.01
3 39 15 27 556.349 4.304  0.01
3 36 14 25 722.359 4.881  0.01
3 33 13 23 622.900 3.940  0.01
3 30 12 21 470.385 3.004  0.01
3 27 11 19 632.949 3.634  0.01
3 24 10 17 901.024 4.218  0.01
3 21 9 15 1130.055 3.187  0.01
3 18 8 13 2099.760 3.742  0.01
3 15 7 11 3011.569 3.285  0.01
3 12 6 9 3043.985 1.766  0.01
3 9 5 7 3028.491 0.877  0.01
3 6 4 5 3035.621 0.348  0.01
4 46 18 32 504.269 4.729  0.01
4 43 17 30 518.180 4.576  0.01
4 40 16 28 544.845 4.255  0.01
4 37 15 26 722.753 4.896  0.01
4 34 14 24 718.366 4.376  0.01
4 31 13 22 632.888 3.732  0.01
4 28 12 20 634.802 3.516  0.01
4 25 11 18 841.572 3.896  0.01
4 22 10 16 958.858 2.875  0.01
4 19 9 14 1928.095 3.490  0.01
4 16 8 12 2683.908 3.114  0.01
4 13 7 10 3031.415 1.852  0.01
4 10 6 8 3045.415 0.863  0.01
4 7 5 6 3003.546 0.334  0.01
5 47 19 33 367.184 3.448  0.01
5 44 18 31 418.657 3.686  0.01
5 41 17 29 431.621 3.386  0.01
5 38 16 27 531.522 3.672  0.01
5 35 15 25 595.084 3.581  0.01
5 32 14 23 571.955 3.087  0.01
5 29 13 21 618.456 3.238  0.01
5 26 12 19 749.669 3.405  0.01
5 23 11 17 576.396 1.887  0.01
5 20 10 15 1569.675 2.817  0.01
5 17 9 13 2678.069 2.993  0.01
5 14 8 11 3027.394 1.945  0.01
5 11 7 9 3032.976 0.849  0.01
5 8 6 7 2985.572 0.367  0.01
6 48 20 34 405.042 3.910  0.01
6 45 19 32 381.404 3.300  0.01
6 42 18 30 410.427 3.262  0.01
6 39 17 28 500.855 3.433  0.01
6 36 16 26 636.092 3.770  0.01
6 33 15 24 612.225 3.195  0.01
6 30 14 22 542.925 2.551  0.01
6 27 13 20 730.402 2.995  0.01
6 24 12 18 1042.959 3.371  0.01
