191 	 # Number of sensors 
# x z 
0.00 0.00 
1.44 0.42 
2.88 0.84 
4.36 1.07 
5.84 1.31 
7.22 1.90 
8.60 2.48 
9.96 3.13 
11.31 3.78 
12.69 4.38 
14.06 4.98 
15.45 5.55 
16.83 6.12 
18.28 6.48 
19.74 6.84 
21.23 7.08 
22.71 7.32 
24.19 7.60 
25.66 7.87 
26.83 6.94 
28.00 6.00 
29.49 5.84 
30.98 5.68 
32.48 5.71 
33.98 5.73 
35.47 5.93 
36.96 6.13 
38.45 6.02 
39.95 5.90 
41.44 5.71 
42.92 5.52 
44.42 5.48 
45.92 5.45 
47.41 5.58 
48.91 5.71 
50.35 6.11 
51.80 6.51 
53.20 7.06 
54.59 7.61 
55.91 8.34 
57.22 9.06 
58.61 9.61 
60.01 10.16 
61.31 10.90 
62.62 11.64 
64.03 12.16 
65.44 12.67 
66.89 13.05 
68.34 13.44 
69.83 13.58 
71.32 13.72 
72.82 13.79 
74.32 13.85 
75.77 14.23 
77.22 14.62 
78.71 14.79 
80.20 14.96 
81.61 15.49 
83.01 16.02 
84.48 16.30 
85.96 16.58 
87.41 16.93 
88.87 17.28 
90.23 17.90 
91.60 18.52 
92.97 19.13 
94.34 19.75 
95.71 20.37 
97.08 20.98 
98.53 21.38 
99.97 21.77 
101.47 21.78 
102.97 21.79 
104.42 22.18 
105.87 22.58 
107.31 22.98 
108.76 23.37 
110.18 23.87 
111.59 24.37 
113.05 24.71 
114.51 25.06 
115.88 25.68 
117.24 26.30 
118.66 26.76 
120.09 27.22 
121.59 27.38 
123.08 27.54 
124.57 27.62 
126.07 27.69 
127.56 27.83 
129.06 27.96 
130.56 28.09 
132.05 28.23 
133.53 28.50 
135.00 28.76 
136.43 29.23 
137.85 29.71 
139.22 30.32 
140.59 30.92 
141.99 31.48 
143.38 32.03 
144.79 32.53 
146.20 33.04 
147.63 33.50 
149.06 33.97 
150.51 34.35 
151.96 34.73 
153.44 34.99 
154.91 35.25 
156.39 35.50 
157.87 35.74 
159.34 36.03 
160.81 36.33 
162.31 36.36 
163.81 36.40 
165.30 36.62 
166.78 36.84 
168.26 37.09 
169.74 37.33 
171.23 37.55 
172.71 37.78 
174.20 37.91 
175.70 38.03 
177.17 38.32 
178.64 38.61 
180.12 38.88 
181.59 39.15 
183.01 39.64 
184.43 40.13 
185.37 41.30 
186.30 42.47 
187.62 43.20 
188.93 43.92 
190.31 44.50 
191.69 45.08 
193.11 45.57 
194.53 46.06 
195.83 46.81 
197.13 47.56 
198.51 48.15 
199.89 48.74 
201.26 49.35 
202.63 49.96 
204.08 50.33 
205.54 50.69 
207.02 50.94 
208.50 51.18 
209.97 51.47 
211.44 51.76 
212.93 51.94 
214.42 52.12 
215.91 52.26 
217.41 52.40 
218.87 52.74 
220.33 53.08 
221.83 53.13 
223.33 53.18 
224.81 53.36 
226.30 53.55 
227.78 53.82 
229.25 54.09 
230.63 54.68 
232.01 55.27 
233.48 55.57 
234.95 55.87 
236.40 56.25 
237.85 56.63 
239.33 56.88 
240.81 57.12 
242.31 57.15 
243.81 57.18 
245.31 57.28 
246.81 57.38 
248.30 57.25 
249.79 57.11 
251.28 56.95 
252.78 56.78 
