52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
522 	 # Number of measurements 
# s g t err
2 2 0.00000 0.01
2 3 0.00209 0.01
2 5 0.00633 0.01
2 7 0.01236 0.01
2 19 0.01566 0.01
2 27 0.01953 0.01
2 29 0.02009 0.01
2 31 0.01962 0.01
2 33 0.02028 0.01
2 37 0.02368 0.01
2 39 0.02446 0.01
2 41 0.02434 0.01
2 43 0.02538 0.01
2 47 0.02321 0.01
4 3 0.00182 0.01
4 4 0.00000 0.01
4 7 0.00735 0.01
4 19 0.01631 0.01
4 21 0.01799 0.01
4 23 0.01920 0.01
4 25 0.01988 0.01
4 27 0.01995 0.01
4 29 0.02035 0.01
4 31 0.02028 0.01
4 33 0.02096 0.01
4 35 0.02156 0.01
4 37 0.02352 0.01
4 39 0.02446 0.01
4 41 0.02399 0.01
4 43 0.02534 0.01
4 47 0.02419 0.01
6 3 0.00819 0.01
6 5 0.00596 0.01
6 6 0.00000 0.01
6 7 0.00425 0.01
6 9 0.00758 0.01
6 11 0.01122 0.01
6 13 0.01203 0.01
6 15 0.01456 0.01
6 17 0.01435 0.01
6 19 0.01526 0.01
6 21 0.01708 0.01
6 23 0.01840 0.01
6 25 0.01920 0.01
6 27 0.01880 0.01
6 29 0.01910 0.01
6 31 0.01900 0.01
6 33 0.02001 0.01
6 35 0.02062 0.01
6 37 0.02345 0.01
6 39 0.02416 0.01
6 41 0.02335 0.01
6 43 0.02436 0.01
6 45 0.02325 0.01
6 47 0.02325 0.01
6 49 0.02456 0.01
8 5 0.00839 0.01
8 7 0.00263 0.01
8 8 0.00000 0.01
8 9 0.00222 0.01
8 11 0.00738 0.01
8 13 0.00991 0.01
8 15 0.01274 0.01
8 19 0.01334 0.01
8 21 0.01557 0.01
8 23 0.01779 0.01
8 25 0.01830 0.01
8 27 0.01789 0.01
8 29 0.01819 0.01
8 31 0.01728 0.01
8 33 0.01920 0.01
8 35 0.01991 0.01
8 37 0.02214 0.01
8 39 0.02294 0.01
8 41 0.02143 0.01
8 45 0.02244 0.01
8 47 0.02204 0.01
8 49 0.02274 0.01
10 5 0.01152 0.01
10 7 0.00758 0.01
10 9 0.00131 0.01
10 10 0.00000 0.01
10 11 0.00323 0.01
10 13 0.00889 0.01
10 15 0.01142 0.01
10 19 0.01233 0.01
10 21 0.01445 0.01
10 23 0.01688 0.01
10 25 0.01739 0.01
10 27 0.01759 0.01
10 29 0.01779 0.01
10 31 0.01678 0.01
10 33 0.01870 0.01
10 35 0.01910 0.01
10 37 0.02193 0.01
10 39 0.02284 0.01
10 41 0.02163 0.01
10 45 0.02204 0.01
10 47 0.02183 0.01
10 49 0.02305 0.01
12 5 0.01385 0.01
12 7 0.01152 0.01
12 9 0.00778 0.01
12 11 0.00253 0.01
12 12 0.00000 0.01
12 13 0.00192 0.01
12 15 0.00778 0.01
12 19 0.01112 0.01
12 21 0.01334 0.01
12 23 0.01607 0.01
12 25 0.01718 0.01
12 27 0.01718 0.01
12 29 0.01840 0.01
12 31 0.01759 0.01
12 33 0.01941 0.01
12 35 0.02011 0.01
12 37 0.02224 0.01
12 39 0.02325 0.01
12 41 0.02224 0.01
12 43 0.02284 0.01
12 45 0.02244 0.01
12 47 0.02264 0.01
12 49 0.02385 0.01
14 5 0.01445 0.01
14 7 0.01274 0.01
14 9 0.01082 0.01
14 11 0.00819 0.01
14 13 0.00172 0.01
14 14 0.00000 0.01
14 15 0.00263 0.01
14 19 0.00900 0.01
14 21 0.01122 0.01
14 23 0.01415 0.01
14 25 0.01577 0.01
14 27 0.01627 0.01
14 29 0.01718 0.01
14 31 0.01688 0.01
14 33 0.01819 0.01
14 35 0.01900 0.01
14 37 0.02143 0.01
14 39 0.02244 0.01
14 41 0.02123 0.01
14 45 0.02133 0.01
14 47 0.02183 0.01
14 49 0.02284 0.01
16 5 0.01567 0.01
16 7 0.01395 0.01
16 9 0.01162 0.01
16 11 0.01132 0.01
16 13 0.00819 0.01
16 15 0.00202 0.01
16 16 0.00000 0.01
16 17 0.00142 0.01
16 21 0.01051 0.01
16 23 0.01354 0.01
16 25 0.01546 0.01
16 27 0.01577 0.01
16 29 0.01678 0.01
16 31 0.01607 0.01
16 33 0.01769 0.01
16 35 0.01860 0.01
16 37 0.02123 0.01
16 39 0.02254 0.01
16 41 0.02113 0.01
16 43 0.02234 0.01
16 45 0.02143 0.01
16 47 0.02183 0.01
16 49 0.02284 0.01
18 3 0.01627 0.01
18 5 0.01587 0.01
18 7 0.01435 0.01
18 9 0.01274 0.01
18 11 0.01183 0.01
18 13 0.01001 0.01
18 18 0.00000 0.01
18 23 0.01102 0.01
18 25 0.01354 0.01
18 27 0.01385 0.01
18 29 0.01546 0.01
18 31 0.01476 0.01
18 33 0.01617 0.01
18 35 0.01728 0.01
18 37 0.02001 0.01
18 39 0.02092 0.01
18 41 0.01971 0.01
18 43 0.02072 0.01
18 45 0.02011 0.01
18 47 0.02032 0.01
18 49 0.02163 0.01
20 3 0.01840 0.01
20 5 0.01809 0.01
20 7 0.01648 0.01
20 9 0.01486 0.01
20 11 0.01405 0.01
20 13 0.01243 0.01
20 15 0.01142 0.01
20 17 0.00778 0.01
20 19 0.00273 0.01
20 20 0.00000 0.01
20 21 0.00263 0.01
20 23 0.00778 0.01
20 25 0.01385 0.01
20 27 0.01405 0.01
20 29 0.01536 0.01
20 31 0.01526 0.01
20 33 0.01648 0.01
20 35 0.01759 0.01
20 37 0.02022 0.01
20 39 0.02143 0.01
20 41 0.01961 0.01
20 45 0.02082 0.01
20 47 0.02092 0.01
20 49 0.02214 0.01
22 3 0.01830 0.01
22 5 0.01840 0.01
22 7 0.01698 0.01
22 9 0.01577 0.01
22 11 0.01496 0.01
22 13 0.01354 0.01
22 15 0.01263 0.01
22 17 0.00889 0.01
22 19 0.00788 0.01
22 21 0.00192 0.01
22 22 0.00000 0.01
22 23 0.00182 0.01
22 25 0.00718 0.01
22 27 0.01061 0.01
22 29 0.01243 0.01
22 31 0.01183 0.01
22 33 0.01365 0.01
22 35 0.01739 0.01
22 37 0.01860 0.01
22 39 0.02062 0.01
22 41 0.01910 0.01
22 45 0.02022 0.01
22 47 0.02011 0.01
22 49 0.02123 0.01
24 3 0.01860 0.01
24 5 0.01880 0.01
24 7 0.01749 0.01
24 9 0.01648 0.01
24 11 0.01658 0.01
24 13 0.01587 0.01
24 15 0.01506 0.01
24 17 0.01284 0.01
24 19 0.01213 0.01
24 21 0.00900 0.01
24 23 0.00323 0.01
24 24 0.00000 0.01
24 25 0.00364 0.01
24 27 0.00829 0.01
24 29 0.01021 0.01
24 31 0.00849 0.01
24 37 0.01567 0.01
24 39 0.01819 0.01
24 41 0.01728 0.01
24 43 0.01799 0.01
24 45 0.01718 0.01
24 47 0.01749 0.01
24 49 0.01941 0.01
26 5 0.01961 0.01
26 7 0.01819 0.01
26 11 0.01759 0.01
26 13 0.01658 0.01
26 17 0.01405 0.01
26 19 0.01304 0.01
26 21 0.01294 0.01
26 25 0.00222 0.01
26 26 0.00000 0.01
26 27 0.00222 0.01
26 29 0.00667 0.01
26 37 0.01466 0.01
26 39 0.01739 0.01
26 41 0.01607 0.01
26 43 0.01718 0.01
26 45 0.01536 0.01
26 47 0.01668 0.01
26 49 0.01900 0.01
28 9 0.01621 0.01
28 15 0.01579 0.01
28 17 0.01404 0.01
28 19 0.01324 0.01
28 21 0.01362 0.01
28 23 0.01065 0.01
28 25 0.00849 0.01
28 27 0.00313 0.01
28 28 0.00000 0.01
28 29 0.00303 0.01
28 31 0.00586 0.01
28 35 0.00723 0.01
28 37 0.01178 0.01
28 39 0.01445 0.01
28 41 0.01405 0.01
28 43 0.01830 0.01
28 47 0.01496 0.01
28 49 0.01678 0.01
30 5 0.01951 0.01
30 7 0.01830 0.01
30 9 0.01688 0.01
30 13 0.01658 0.01
30 15 0.01678 0.01
30 17 0.01486 0.01
30 19 0.01516 0.01
30 25 0.01061 0.01
30 27 0.00829 0.01
30 30 0.00000 0.01
30 31 0.00202 0.01
30 33 0.00404 0.01
30 35 0.00596 0.01
30 37 0.00930 0.01
30 39 0.01375 0.01
30 41 0.01354 0.01
30 43 0.01365 0.01
30 45 0.01243 0.01
30 47 0.01334 0.01
30 49 0.01546 0.01
32 3 0.01913 0.01
32 5 0.01900 0.01
32 7 0.01739 0.01
32 9 0.01658 0.01
32 13 0.01668 0.01
32 15 0.01678 0.01
32 17 0.01506 0.01
32 19 0.01456 0.01
32 21 0.01415 0.01
32 23 0.01132 0.01
32 25 0.01001 0.01
32 27 0.00831 0.01
32 31 0.00277 0.01
32 32 0.00000 0.01
32 33 0.00182 0.01
32 35 0.00425 0.01
32 37 0.00768 0.01
32 39 0.01223 0.01
32 41 0.01243 0.01
32 45 0.01740 0.01
32 49 0.01698 0.01
34 17 0.01532 0.01
34 19 0.01514 0.01
34 21 0.01514 0.01
34 23 0.01160 0.01
34 25 0.00976 0.01
34 27 0.00843 0.01
34 29 0.00634 0.01
34 33 0.00209 0.01
34 34 0.00000 0.01
34 35 0.00224 0.01
34 37 0.00603 0.01
34 39 0.01176 0.01
34 41 0.01068 0.01
34 43 0.01160 0.01
34 45 0.01044 0.01
34 47 0.01129 0.01
34 49 0.01385 0.01
36 3 0.02222 0.01
36 5 0.02193 0.01
36 7 0.02094 0.01
36 9 0.01939 0.01
36 11 0.02024 0.01
36 13 0.01981 0.01
36 15 0.01967 0.01
36 17 0.01755 0.01
36 19 0.01797 0.01
36 21 0.01783 0.01
36 23 0.01557 0.01
36 25 0.01415 0.01
36 27 0.01203 0.01
36 29 0.00962 0.01
36 33 0.00736 0.01
36 35 0.00269 0.01
36 36 0.00000 0.01
36 37 0.00198 0.01
36 39 0.00892 0.01
36 41 0.01373 0.01
36 43 0.01429 0.01
36 45 0.01288 0.01
36 47 0.01387 0.01
36 49 0.01642 0.01
38 3 0.02377 0.01
38 5 0.02363 0.01
38 7 0.02292 0.01
38 9 0.02165 0.01
38 11 0.02278 0.01
38 13 0.02151 0.01
38 15 0.02179 0.01
38 17 0.01967 0.01
38 19 0.01939 0.01
38 21 0.01981 0.01
38 23 0.01840 0.01
38 25 0.01726 0.01
38 27 0.01557 0.01
38 29 0.01429 0.01
38 31 0.01387 0.01
38 33 0.01019 0.01
38 35 0.00892 0.01
38 37 0.00297 0.01
38 38 0.00000 0.01
38 39 0.00340 0.01
38 43 0.01415 0.01
38 45 0.01528 0.01
40 3 0.02621 0.01
40 5 0.02510 0.01
40 7 0.02364 0.01
40 9 0.02302 0.01
40 11 0.02344 0.01
40 13 0.02281 0.01
40 15 0.02309 0.01
40 17 0.02163 0.01
40 19 0.02094 0.01
40 21 0.02150 0.01
40 23 0.01976 0.01
40 25 0.01886 0.01
40 27 0.01727 0.01
40 29 0.01623 0.01
40 31 0.01650 0.01
40 35 0.01470 0.01
40 37 0.00825 0.01
40 39 0.00222 0.01
40 40 0.00000 0.01
40 41 0.00416 0.01
40 43 0.00790 0.01
42 9 0.02116 0.01
42 15 0.02107 0.01
42 17 0.01855 0.01
42 19 0.01888 0.01
42 21 0.01920 0.01
42 23 0.01782 0.01
42 25 0.01676 0.01
42 27 0.01595 0.01
42 29 0.01522 0.01
42 31 0.01456 0.01
42 33 0.01334 0.01
42 37 0.01277 0.01
42 39 0.00854 0.01
42 41 0.00342 0.01
42 42 0.00000 0.01
42 43 0.00187 0.01
42 45 0.00740 0.01
42 47 0.00871 0.01
42 49 0.01123 0.01
44 19 0.01917 0.01
44 21 0.01917 0.01
44 23 0.01798 0.01
44 25 0.01689 0.01
44 27 0.01570 0.01
44 29 0.01478 0.01
44 31 0.01494 0.01
44 33 0.01343 0.01
44 35 0.01503 0.01
44 37 0.01393 0.01
44 39 0.01089 0.01
44 41 0.00743 0.01
44 43 0.00262 0.01
44 44 0.00000 0.01
44 45 0.00220 0.01
44 47 0.00456 0.01
44 49 0.00785 0.01
46 3 0.02323 0.01
46 5 0.02252 0.01
46 7 0.02165 0.01
46 9 0.02079 0.01
46 11 0.02086 0.01
46 13 0.02065 0.01
46 15 0.02108 0.01
46 17 0.01870 0.01
46 19 0.01849 0.01
46 21 0.01863 0.01
46 23 0.01755 0.01
46 25 0.01640 0.01
46 27 0.01489 0.01
46 29 0.01345 0.01
46 31 0.01554 0.01
46 33 0.01252 0.01
46 35 0.01331 0.01
46 39 0.01158 0.01
46 45 0.00325 0.01
46 46 0.00000 0.01
46 47 0.00245 0.01
46 49 0.00870 0.01
48 5 0.02262 0.01
48 9 0.02140 0.01
48 11 0.02124 0.01
48 13 0.02101 0.01
48 15 0.02117 0.01
48 17 0.01880 0.01
48 19 0.01872 0.01
48 21 0.01933 0.01
48 23 0.01842 0.01
48 25 0.01758 0.01
48 27 0.01620 0.01
48 29 0.01498 0.01
48 37 0.01253 0.01
48 39 0.01291 0.01
48 41 0.01039 0.01
48 43 0.00718 0.01
48 45 0.00397 0.01
48 47 0.00176 0.01
48 48 0.00000 0.01
48 49 0.00153 0.01
50 3 0.02557 0.01
50 5 0.02527 0.01
50 7 0.02456 0.01
50 9 0.02345 0.01
50 11 0.02446 0.01
50 13 0.02355 0.01
50 15 0.02365 0.01
50 17 0.02193 0.01
50 19 0.02183 0.01
50 21 0.02183 0.01
50 23 0.02153 0.01
