49 	 # Number of sensors 
# x z 
0.00 -0.98 
1.88 -0.69 
3.75 -0.34 
5.82 0.00 
7.72 -0.02 
9.72 -0.10 
11.71 -0.17 
13.78 -0.54 
15.78 -0.47 
17.78 -0.35 
19.77 -0.19 
21.66 -0.34 
23.76 -0.33 
25.74 -0.63 
27.74 -0.71 
29.73 -0.55 
31.56 -1.07 
33.84 -0.75 
35.83 -0.91 
37.93 -0.94 
39.93 -1.01 
41.92 -0.84 
43.82 -0.93 
45.82 -1.05 
47.92 -1.03 
49.97 -1.49 
51.87 -1.49 
53.96 -1.39 
56.36 -1.49 
57.93 -1.19 
59.86 -1.73 
61.96 -1.63 
64.05 -1.84 
66.03 -2.08 
68.13 -2.25 
69.71 -2.45 
71.91 -2.50 
74.20 -2.70 
76.10 -2.67 
78.20 -2.71 
80.29 -2.50 
82.47 -2.79 
84.07 -2.86 
85.77 -2.92 
88.15 -2.57 
90.05 -2.54 
91.92 -2.84 
94.18 -2.39 
96.04 -2.74 
349 	 # Number of measurements 
# a b m n u i err
1 4 2 3 9.18 0.10 0.01
2 5 3 4 6.25 0.10 0.01
3 6 4 5 8.64 0.10 0.01
4 7 5 6 5.99 0.10 0.01
5 8 6 7 6.43 0.10 0.01
6 9 7 8 5.68 0.10 0.01
7 10 8 9 6.75 0.10 0.01
8 11 9 10 5.57 0.10 0.01
9 12 10 11 6.51 0.10 0.01
10 13 11 12 6.77 0.10 0.01
11 14 12 13 5.79 0.10 0.01
12 15 13 14 7.68 0.10 0.01
13 16 14 15 6.63 0.10 0.01
14 17 15 16 9.27 0.10 0.01
15 18 16 17 5.15 0.10 0.01
16 19 17 18 10.87 0.10 0.01
17 20 18 19 7.15 0.10 0.01
18 21 19 20 10.76 0.10 0.01
19 22 20 21 9.41 0.10 0.01
20 23 21 22 9.24 0.10 0.01
21 24 22 23 8.64 0.10 0.01
22 25 23 24 8.98 0.10 0.01
23 26 24 25 8.27 0.10 0.01
24 27 25 26 7.50 0.10 0.01
25 28 26 27 5.74 0.10 0.01
26 29 27 28 7.05 0.10 0.01
27 30 28 29 7.83 0.10 0.01
28 31 29 30 9.18 0.10 0.01
29 32 30 31 7.41 0.10 0.01
34 37 35 36 6.46 0.10 0.01
35 38 36 37 11.62 0.10 0.01
36 39 37 38 9.67 0.10 0.01
37 40 38 39 7.75 0.10 0.01
38 41 39 40 13.32 0.10 0.01
39 42 40 41 8.40 0.10 0.01
40 43 41 42 12.79 0.10 0.01
41 44 42 43 6.59 0.10 0.01
42 45 43 44 8.90 0.10 0.01
43 46 44 45 11.68 0.10 0.01
44 47 45 46 7.45 0.10 0.01
45 48 46 47 10.08 0.10 0.01
46 49 47 48 12.99 0.10 0.01
1 7 3 5 3.46 0.10 0.01
2 8 4 6 3.58 0.10 0.01
3 9 5 7 3.02 0.10 0.01
4 10 6 8 2.88 0.10 0.01
5 11 7 9 3.56 0.10 0.01
6 12 8 10 3.27 0.10 0.01
7 13 9 11 3.44 0.10 0.01
8 14 10 12 3.76 0.10 0.01
9 15 11 13 3.78 0.10 0.01
10 16 12 14 3.72 0.10 0.01
11 17 13 15 4.54 0.10 0.01
12 18 14 16 4.75 0.10 0.01
13 19 15 17 4.08 0.10 0.01
14 20 16 18 4.45 0.10 0.01
15 21 17 19 4.96 0.10 0.01
16 22 18 20 5.72 0.10 0.01
17 23 19 21 5.42 0.10 0.01
18 24 20 22 4.88 0.10 0.01
19 25 21 23 4.17 0.10 0.01
20 26 22 24 5.03 0.10 0.01
21 27 23 25 5.30 0.10 0.01
22 28 24 26 5.21 0.10 0.01
23 29 25 27 4.63 0.10 0.01
24 30 26 28 4.81 0.10 0.01
25 31 27 29 6.05 0.10 0.01
26 32 28 30 6.12 0.10 0.01
28 34 30 32 4.44 0.10 0.01
30 36 32 34 77.32 1.00 0.01
32 38 34 36 47.98 1.00 0.01
34 40 36 38 7.10 0.10 0.01
35 41 37 39 6.23 0.10 0.01
36 42 38 40 5.60 0.10 0.01
37 43 39 41 7.12 0.10 0.01
38 44 40 42 7.22 0.10 0.01
39 45 41 43 6.23 0.10 0.01
40 46 42 44 5.58 0.10 0.01
41 47 43 45 6.64 0.10 0.01
42 48 44 46 5.74 0.10 0.01
43 49 45 47 5.97 0.10 0.01
1 10 4 7 2.31 0.10 0.01
2 11 5 8 2.32 0.10 0.01
3 12 6 9 2.23 0.10 0.01
4 13 7 10 2.33 0.10 0.01
5 14 8 11 2.58 0.10 0.01
6 15 9 12 2.86 0.10 0.01
7 16 10 13 2.46 0.10 0.01
8 17 11 14 2.99 0.10 0.01
9 18 12 15 3.76 0.10 0.01
10 19 13 16 3.28 0.10 0.01
11 20 14 17 2.78 0.10 0.01
12 21 15 18 3.01 0.10 0.01
13 22 16 19 3.03 0.10 0.01
14 23 17 20 3.97 0.10 0.01
15 24 18 21 3.71 0.10 0.01
16 25 19 22 3.64 0.10 0.01
17 26 20 23 2.91 0.10 0.01
18 27 21 24 3.27 0.10 0.01
19 28 22 25 3.42 0.10 0.01
20 29 23 26 3.95 0.10 0.01
21 30 24 27 3.83 0.10 0.01
22 31 25 28 4.04 0.10 0.01
23 32 26 29 4.25 0.10 0.01
25 34 28 31 3.40 0.10 0.01
26 35 29 32 3.26 0.10 0.01
28 37 31 34 51.68 1.00 0.01
