52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
620 	 # Number of measurements 
# s g t err
1 1 0.00000 0.005
1 3 0.00114 0.005
1 5 0.00412 0.005
1 7 0.00684 0.005
1 9 0.00928 0.005
1 11 0.00969 0.005
1 13 0.00995 0.005
1 15 0.00969 0.005
1 17 0.01124 0.005
1 19 0.01287 0.005
1 21 0.01441 0.005
1 23 0.01417 0.005
1 25 0.01531 0.005
1 27 0.01515 0.005
1 29 0.01393 0.005
1 31 0.01678 0.005
1 33 0.01507 0.005
1 35 0.01792 0.005
1 37 0.01987 0.005
1 39 0.02011 0.005
1 41 0.02028 0.005
1 43 0.01881 0.005
1 45 0.02036 0.005
1 47 0.02125 0.005
1 49 0.02109 0.005
4 3 0.00216 0.005
4 4 0.00000 0.005
4 5 0.00234 0.005
4 7 0.00703 0.005
4 9 0.00784 0.005
4 11 0.00901 0.005
4 13 0.00901 0.005
4 15 0.00910 0.005
4 17 0.01028 0.005
4 19 0.01199 0.005
4 21 0.01379 0.005
4 23 0.01343 0.005
4 25 0.01451 0.005
4 27 0.01514 0.005
4 29 0.01406 0.005
4 31 0.01523 0.005
4 33 0.01542 0.005
4 35 0.01713 0.005
4 37 0.01929 0.005
4 39 0.01929 0.005
4 41 0.01875 0.005
4 43 0.01920 0.005
4 45 0.01902 0.005
4 47 0.02127 0.005
4 49 0.02073 0.005
6 3 0.00573 0.005
6 5 0.00326 0.005
6 6 0.00000 0.005
6 7 0.00172 0.005
6 9 0.00721 0.005
6 11 0.00841 0.005
6 13 0.00927 0.005
6 15 0.00937 0.005
6 17 0.01029 0.005
6 19 0.01184 0.005
6 21 0.01373 0.005
6 23 0.01458 0.005
6 25 0.01476 0.005
6 27 0.01579 0.005
6 29 0.01424 0.005
6 31 0.01579 0.005
6 33 0.01561 0.005
6 35 0.01767 0.005
6 37 0.02008 0.005
6 39 0.02025 0.005
6 41 0.01887 0.005
6 43 0.01922 0.005
6 45 0.01939 0.005
6 47 0.02145 0.005
6 49 0.02093 0.005
8 3 0.00721 0.005
8 5 0.00652 0.005
8 7 0.00275 0.005
8 8 0.00000 0.005
8 9 0.00223 0.005
8 11 0.00841 0.005
8 13 0.00755 0.005
8 15 0.00824 0.005
8 17 0.00995 0.005
8 19 0.01064 0.005
8 21 0.01253 0.005
8 23 0.01270 0.005
8 25 0.01338 0.005
8 27 0.01355 0.005
8 29 0.01304 0.005
8 31 0.01458 0.005
8 33 0.01407 0.005
8 35 0.01613 0.005
8 37 0.01922 0.005
8 39 0.01973 0.005
8 41 0.01887 0.005
8 43 0.01836 0.005
8 45 0.01836 0.005
8 47 0.02059 0.005
10 3 0.00944 0.005
10 5 0.00909 0.005
10 7 0.00789 0.005
10 9 0.00257 0.005
10 10 0.00000 0.005
10 11 0.00240 0.005
10 13 0.00789 0.005
10 15 0.00738 0.005
10 17 0.00927 0.005
10 19 0.01098 0.005
10 21 0.01287 0.005
10 23 0.01355 0.005
10 25 0.01493 0.005
10 27 0.01458 0.005
10 29 0.01390 0.005
10 31 0.01544 0.005
10 33 0.01493 0.005
10 35 0.01716 0.005
10 37 0.01905 0.005
10 39 0.01922 0.005
10 41 0.01956 0.005
10 43 0.01905 0.005
10 45 0.01956 0.005
10 47 0.02128 0.005
10 49 0.02008 0.005
12 3 0.00892 0.005
12 5 0.00824 0.005
12 7 0.00789 0.005
12 9 0.00669 0.005
12 11 0.00189 0.005
12 12 0.00000 0.005
12 13 0.00257 0.005
12 15 0.00532 0.005
12 17 0.00738 0.005
12 19 0.00909 0.005
12 21 0.01081 0.005
12 23 0.01150 0.005
12 25 0.01287 0.005
12 27 0.01201 0.005
12 29 0.01235 0.005
12 31 0.01355 0.005
12 33 0.01321 0.005
12 35 0.01596 0.005
12 37 0.01767 0.005
12 39 0.01784 0.005
12 41 0.01836 0.005
12 43 0.01716 0.005
12 45 0.01802 0.005
12 47 0.02042 0.005
12 49 0.01836 0.005
14 3 0.00858 0.005
14 5 0.00789 0.005
14 7 0.00738 0.005
14 9 0.00721 0.005
14 11 0.00583 0.005
14 13 0.00206 0.005
14 14 0.00000 0.005
14 15 0.00206 0.005
14 17 0.00549 0.005
14 19 0.00703 0.005
14 21 0.00944 0.005
14 23 0.01029 0.005
14 25 0.01150 0.005
14 27 0.01064 0.005
14 29 0.01012 0.005
14 31 0.01235 0.005
14 33 0.01201 0.005
14 35 0.01407 0.005
14 37 0.01596 0.005
14 39 0.01647 0.005
14 41 0.01596 0.005
14 43 0.01579 0.005
14 45 0.01664 0.005
14 47 0.01750 0.005
14 49 0.01784 0.005
16 3 0.00944 0.005
16 5 0.00824 0.005
16 7 0.00824 0.005
16 9 0.00686 0.005
16 11 0.00755 0.005
16 13 0.00343 0.005
16 15 0.00257 0.005
16 16 0.00000 0.005
16 17 0.00189 0.005
16 19 0.00292 0.005
16 21 0.00738 0.005
16 23 0.00841 0.005
16 25 0.00944 0.005
16 27 0.00841 0.005
16 29 0.00806 0.005
16 31 0.01132 0.005
16 33 0.00995 0.005
16 35 0.01115 0.005
16 37 0.01424 0.005
16 39 0.01390 0.005
16 41 0.01476 0.005
16 43 0.01493 0.005
16 45 0.01561 0.005
16 47 0.01767 0.005
16 49 0.01544 0.005
18 3 0.01218 0.005
18 5 0.01081 0.005
18 7 0.01029 0.005
18 9 0.00995 0.005
18 11 0.00882 0.005
18 15 0.00323 0.005
18 17 0.00189 0.005
18 18 0.00000 0.005
18 19 0.00252 0.005
18 21 0.00378 0.005
18 23 0.00520 0.005
18 25 0.00575 0.005
18 27 0.01201 0.005
18 29 0.01098 0.005
18 31 0.01253 0.005
18 33 0.01167 0.005
