49 	 # Number of sensors 
# x z 
0 0
2 0
4 0
6 0
8 0
10 0
12 0
14 0
16 0
18 0
20 0
22 0
24 0
26 0
28 0
30 0
32 0
34 0
36 0
38 0
40 0
42 0
44 0
46 0
48 0
50 0
52 0
54 0
56 0
58 0
60 0
62 0
64 0
66 0
68 0
70 0
72 0
74 0
76 0
78 0
80 0
82 0
84 0
86 0
88 0
90 0
92 0
94 0
96 0
349 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 1153.83 0.01
2 5 3 4 785.01 0.01
3 6 4 5 1086.04 0.01
4 7 5 6 752.62 0.01
5 8 6 7 808.56 0.01
6 9 7 8 713.65 0.01
7 10 8 9 847.65 0.01
8 11 9 10 699.72 0.01
9 12 10 11 818.06 0.01
10 13 11 12 851.30 0.01
11 14 12 13 727.52 0.01
12 15 13 14 964.56 0.01
13 16 14 15 833.06 0.01
14 17 15 16 1165.49 0.01
15 18 16 17 646.75 0.01
16 19 17 18 1365.43 0.01
17 20 18 19 898.07 0.01
18 21 19 20 1352.39 0.01
19 22 20 21 1182.37 0.01
20 23 21 22 1160.86 0.01
21 24 22 23 1085.41 0.01
22 25 23 24 1128.53 0.01
23 26 24 25 1039.67 0.01
24 27 25 26 941.96 0.01
25 28 26 27 721.43 0.01
26 29 27 28 885.66 0.01
27 30 28 29 984.56 0.01
28 31 29 30 1153.48 0.01
29 32 30 31 931.04 0.01
34 37 35 36 811.55 0.01
35 38 36 37 1459.72 0.01
36 39 37 38 1215.33 0.01
37 40 38 39 974.38 0.01
38 41 39 40 1673.26 0.01
39 42 40 41 1055.05 0.01
40 43 41 42 1606.89 0.01
41 44 42 43 828.28 0.01
42 45 43 44 1118.18 0.01
43 46 44 45 1467.65 0.01
44 47 45 46 936.46 0.01
45 48 46 47 1266.69 0.01
46 49 47 48 1632.05 0.01
1 7 3 5 870.13 0.01
2 8 4 6 900.82 0.01
3 9 5 7 757.76 0.01
4 10 6 8 723.95 0.01
5 11 7 9 894.75 0.01
6 12 8 10 820.69 0.01
7 13 9 11 864.44 0.01
8 14 10 12 944.39 0.01
9 15 11 13 950.39 0.01
10 16 12 14 933.90 0.01
11 17 13 15 1140.43 0.01
12 18 14 16 1193.09 0.01
13 19 15 17 1025.29 0.01
14 20 16 18 1118.25 0.01
15 21 17 19 1246.79 0.01
16 22 18 20 1438.74 0.01
17 23 19 21 1361.78 0.01
18 24 20 22 1225.35 0.01
19 25 21 23 1048.26 0.01
20 26 22 24 1264.41 0.01
21 27 23 25 1332.92 0.01
22 28 24 26 1309.04 0.01
23 29 25 27 1163.25 0.01
24 30 26 28 1209.82 0.01
25 31 27 29 1521.58 0.01
26 32 28 30 1538.02 0.01
28 34 30 32 1115.26 0.01
30 36 32 34 1943.20 0.01
32 38 34 36 1205.77 0.01
34 40 36 38 1785.51 0.01
35 41 37 39 1564.60 0.01
36 42 38 40 1406.49 0.01
37 43 39 41 1788.63 0.01
38 44 40 42 1813.41 0.01
39 45 41 43 1565.10 0.01
40 46 42 44 1401.63 0.01
41 47 43 45 1669.69 0.01
42 48 44 46 1442.02 0.01
43 49 45 47 1501.31 0.01
1 10 4 7 871.70 0.01
2 11 5 8 875.90 0.01
3 12 6 9 839.90 0.01
4 13 7 10 876.96 0.01
5 14 8 11 970.84 0.01
6 15 9 12 1078.48 0.01
7 16 10 13 926.50 0.01
8 17 11 14 1126.38 0.01
9 18 12 15 1417.90 0.01
10 19 13 16 1236.13 0.01
11 20 14 17 1047.57 0.01
12 21 15 18 1134.32 0.01
13 22 16 19 1143.50 0.01
14 23 17 20 1497.04 0.01
15 24 18 21 1398.55 0.01
16 25 19 22 1372.27 0.01
17 26 20 23 1098.20 0.01
18 27 21 24 1232.28 0.01
19 28 22 25 1289.15 0.01
20 29 23 26 1490.19 0.01
21 30 24 27 1445.65 0.01
22 31 25 28 1523.47 0.01
23 32 26 29 1601.06 0.01
25 34 28 31 1282.07 0.01
26 35 29 32 1230.34 0.01
28 37 31 34 1948.22 0.01
29 38 32 35 1976.51 0.01
31 40 34 37 1606.39 0.01
32 41 35 38 1649.25 0.01
34 43 37 40 1823.32 0.01
35 44 38 41 1731.26 0.01
36 45 39 42 1909.62 0.01
37 46 40 43 1829.71 0.01
38 47 41 44 1869.00 0.01
39 48 42 45 1560.72 0.01
40 49 43 46 1710.09 0.01
1 13 5 9 955.88 0.01
2 14 6 10 974.11 0.01
3 15 7 11 986.84 0.01
4 16 8 12 1021.50 0.01
5 17 9 13 1038.04 0.01
6 18 10 14 1097.68 0.01
7 19 11 15 1148.72 0.01
8 20 12 16 1154.91 0.01
9 21 13 17 1105.63 0.01
10 22 14 18 1167.52 0.01
11 23 15 19 1215.83 0.01
12 24 16 20 1324.67 0.01
13 25 17 21 1378.34 0.01
14 26 18 22 1309.07 0.01
15 27 19 23 1374.52 0.01
16 28 20 24 1356.33 0.01
17 29 21 25 1296.83 0.01
18 30 22 26 1439.71 0.01
19 31 23 27 1578.64 0.01
20 32 24 28 1714.54 0.01
22 34 26 30 1482.88 0.01
23 35 27 31 1393.99 0.01
24 36 28 32 1493.31 0.01
26 38 30 34 1712.54 0.01
27 39 31 35 2026.53 0.01
28 40 32 36 1908.28 0.01
30 42 34 38 1730.52 0.01
31 43 35 39 1674.31 0.01
32 44 36 40 1878.16 0.01
34 46 38 42 2072.93 0.01
35 47 39 43 2015.66 0.01
36 48 40 44 1770.07 0.01
37 49 41 45 2010.86 0.01
1 16 6 11 1055.20 0.01
2 17 7 12 1141.09 0.01
3 18 8 13 1111.43 0.01
4 19 9 14 1165.37 0.01
5 20 10 15 1178.23 0.01
6 21 11 16 1215.97 0.01
7 22 12 17 1128.98 0.01
8 23 13 18 1269.39 0.01
9 24 14 19 1096.76 0.01
10 25 15 20 1345.11 0.01
11 26 16 21 1304.00 0.01
12 27 17 22 1366.41 0.01
13 28 18 23 1330.37 0.01
14 29 19 24 1436.27 0.01
15 30 20 25 1419.93 0.01
16 31 21 26 1544.96 0.01
17 32 22 27 1547.10 0.01
19 34 24 29 1612.41 0.01
20 35 25 30 1605.89 0.01
21 36 26 31 1537.42 0.01
22 37 27 32 1514.84 0.01
24 39 29 34 1786.50 0.01
25 40 30 35 1881.24 0.01
26 41 31 36 1930.86 0.01
27 42 32 37 1987.66 0.01
29 44 34 39 1925.88 0.01
30 45 35 40 1906.57 0.01
31 46 36 41 1986.22 0.01
32 47 37 42 2013.43 0.01
34 49 39 44 1927.58 0.01
1 19 7 13 1221.23 0.01
2 20 8 14 1262.00 0.01
3 21 9 15 1265.37 0.01
4 22 10 16 1320.30 0.01
5 23 11 17 1253.31 0.01
6 24 12 18 1304.00 0.01
7 25 13 19 1303.07 0.01
8 26 14 20 1372.82 0.01
9 27 15 21 1399.28 0.01
10 28 16 22 1330.44 0.01
11 29 17 23 1376.55 0.01
12 30 18 24 1404.93 0.01
13 31 19 25 1531.38 0.01
14 32 20 26 1557.74 0.01
16 34 22 28 1548.22 0.01
17 35 23 29 1692.23 0.01
18 36 24 30 1549.19 0.01
19 37 25 31 1529.58 0.01
20 38 26 32 1600.87 0.01
22 40 28 34 1887.68 0.01
23 41 29 35 1856.21 0.01
24 42 30 36 1783.17 0.01
25 43 31 37 2065.86 0.01
26 44 32 38 2127.89 0.01
28 46 34 40 2105.81 0.01
29 47 35 41 1996.68 0.01
30 48 36 42 2182.91 0.01
31 49 37 43 1873.66 0.01
1 22 8 15 1386.59 0.01
2 23 9 16 1458.76 0.01
3 24 10 17 1354.52 0.01
4 25 11 18 1367.93 0.01
5 26 12 19 1350.46 0.01
6 27 13 20 1463.40 0.01
7 28 14 21 1299.59 0.01
8 29 15 22 1380.61 0.01
9 30 16 23 1369.02 0.01
10 31 17 24 1496.97 0.01
11 32 18 25 1500.77 0.01
13 34 20 27 1455.25 0.01
14 35 21 28 1506.13 0.01
15 36 22 29 1704.30 0.01
16 37 23 30 1676.83 0.01
17 38 24 31 1571.51 0.01
18 39 25 32 1621.29 0.01
20 41 27 34 1927.59 0.01
21 42 28 35 1917.81 0.01
22 43 29 36 1833.20 0.01
23 44 30 37 1960.90 0.01
24 45 31 38 2100.92 0.01
25 46 32 39 2162.20 0.01
27 48 34 41 2016.78 0.01
28 49 35 42 2053.21 0.01
1 25 9 17 1443.56 0.01
2 26 10 18 1501.87 0.01
3 27 11 19 1451.57 0.01
4 28 12 20 1476.26 0.01
5 29 13 21 1510.87 0.01
6 30 14 22 1478.13 0.01
7 31 15 23 1480.91 0.01
8 32 16 24 1474.60 0.01
10 34 18 26 1484.19 0.01
11 35 19 27 1318.04 0.01
12 36 20 28 1557.10 0.01
13 37 21 29 1584.44 0.01
14 38 22 30 1627.24 0.01
15 39 23 31 1660.78 0.01
16 40 24 32 1677.48 0.01
17 41 25 33 1802.04 0.01
18 42 26 34 1791.55 0.01
19 43 27 35 1930.49 0.01
20 44 28 36 1932.43 0.01
21 45 29 37 1956.83 0.01
22 46 30 38 2084.98 0.01
23 47 31 39 2095.08 0.01
24 48 32 40 2165.86 0.01
25 49 33 41 1967.53 0.01
1 28 10 19 1576.62 0.01
2 29 11 20 1622.81 0.01
3 30 12 21 1550.20 0.01
4 31 13 22 1571.92 0.01
5 32 14 23 1556.78 0.01
6 33 15 24 1541.21 0.01
7 34 16 25 1452.68 0.01
8 35 17 26 1516.40 0.01
9 36 18 27 1557.84 0.01
10 37 19 28 1547.32 0.01
11 38 20 29 1613.61 0.01
12 39 21 30 1616.04 0.01
13 40 22 31 1566.56 0.01
14 41 23 32 1665.40 0.01
15 42 24 33 1784.87 0.01
16 43 25 34 1868.59 0.01
17 44 26 35 1833.09 0.01
18 45 27 36 1918.11 0.01
19 46 28 37 2026.48 0.01
20 47 29 38 2012.22 0.01
21 48 30 39 2023.51 0.01
22 49 31 40 2125.26 0.01
1 31 11 21 1547.41 0.01
2 32 12 22 1659.12 0.01
3 33 13 23 1547.54 0.01
4 34 14 24 1550.59 0.01
5 35 15 25 1540.38 0.01
6 36 16 26 1573.67 0.01
7 37 17 27 1560.57 0.01
8 38 18 28 1561.43 0.01
9 39 19 29 1679.60 0.01
10 40 20 30 1589.71 0.01
11 41 21 31 1564.83 0.01
12 42 22 32 1575.32 0.01
13 43 23 33 1806.90 0.01
14 44 24 34 1826.27 0.01
15 45 25 35 1892.30 0.01
16 46 26 36 1930.40 0.01
17 47 27 37 1969.34 0.01
18 48 28 38 1992.95 0.01
19 49 29 39 1903.82 0.01
1 34 12 23 1642.78 0.01
2 35 13 24 1645.27 0.01
3 36 14 25 1634.50 0.01
4 37 15 26 1592.51 0.01
5 38 16 27 1566.34 0.01
6 39 17 28 1647.10 0.01
7 40 18 29 1595.60 0.01
8 41 19 30 1640.90 0.01
9 42 20 31 1549.52 0.01
10 43 21 32 1601.59 0.01
11 44 22 33 1748.99 0.01
12 45 23 34 1818.36 0.01
13 46 24 35 1898.43 0.01
14 47 25 36 1832.42 0.01
15 48 26 37 1941.70 0.01
16 49 27 38 1963.06 0.01
1 37 13 25 1741.24 0.01
2 38 14 26 1702.56 0.01
3 39 15 27 1665.54 0.01
4 40 16 28 1579.16 0.01
5 41 17 29 1682.75 0.01
6 42 18 30 1623.23 0.01
7 43 19 31 1614.75 0.01
8 44 20 32 1564.63 0.01
9 45 21 33 1710.31 0.01
10 46 22 34 1813.48 0.01
11 47 23 35 1847.24 0.01
12 48 24 36 1803.23 0.01
13 49 25 37 1833.93 0.01
1 40 14 27 1748.00 0.01
2 41 15 28 1725.45 0.01
3 42 16 29 1652.23 0.01
4 43 17 30 1678.54 0.01
5 44 18 31 1626.19 0.01
6 45 19 32 1667.79 0.01
7 46 20 33 1764.46 0.01
8 47 21 34 1696.26 0.01
9 48 22 35 1840.28 0.01
10 49 23 36 1786.72 0.01
1 43 15 29 1767.05 0.01
2 44 16 30 1617.49 0.01
3 45 17 31 1703.20 0.01
4 46 18 32 1822.45 0.01
5 47 19 33 1812.38 0.01
6 48 20 34 1695.88 0.01
7 49 21 35 1727.13 0.01
1 46 16 31 1771.07 0.01
2 47 17 32 1759.45 0.01
3 48 18 33 1800.23 0.01
4 49 19 34 1784.31 0.01
1 49 17 33 1828.10 0.01
